,spx,usmv,sphb,total_cumret,,,,,,,,,,
2011-10-21,0.018808765,0.01222414,-0.224397748,0.03206186,,1.018808765,1.01222414,0.775602252,1.03206186,,,,,
2011-10-24,0.031923849,0.01222414,-0.19656393,0.069099172,,1.031923849,1.01222414,0.80343607,1.069099172,,1.012872959,1,1.035886717,1.035886717
2011-10-25,0.011239219,0.008675245,-0.21899737,0.039247921,,1.011239219,1.008675245,0.78100263,1.039247921,,0.979955275,0.996493963,0.972078127,0.972078127
2011-10-26,0.021894194,0.013012584,-0.209026891,0.052515225,,1.021894194,1.013012584,0.790973109,1.052515225,,1.010536553,1.004300036,1.012766255,1.012766255
2011-10-27,0.056936416,0.026419344,-0.157098435,0.121614275,,1.056936416,1.026419344,0.842901565,1.121614275,,1.034291438,1.013234544,1.065651355,1.065651355
2011-10-28,0.057347806,0.026025263,-0.147958875,0.13377591,,1.057347806,1.026025263,0.852041125,1.13377591,,1.000389229,0.999616063,1.010842974,1.010842974
2011-10-31,0.031191662,0.023659458,-0.18576299,0.083471537,,1.031191662,1.023659458,0.81423701,1.083471537,,0.975262497,0.997694205,0.955631115,0.955631115
2011-11-01,0.00237785,0.023659458,-0.212350292,0.048092912,,1.00237785,1.023659458,0.787649708,1.048092912,,0.972057753,1,0.967346973,0.967346973
2011-11-02,0.018520812,0.023659458,-0.201964491,0.061912868,,1.018520812,1.023659458,0.798035509,1.061912868,,1.016104668,1,1.013185812,1.013185812
2011-11-03,0.037650474,0.023659458,-0.178285085,0.093422076,,1.037650474,1.023659458,0.821714915,1.093422076,,1.018781808,1,1.029672122,1.029672122
2011-11-04,0.031134011,0.017350112,-0.1795316,0.091763389,,1.031134011,1.017350112,0.8204684,1.091763389,,0.993719983,0.993836479,0.998483031,0.998483031
2011-11-07,0.037625766,0.013407042,-0.180777475,0.090105554,,1.037625766,1.013407042,0.819222525,1.090105554,,1.006295744,0.996124176,0.998481508,0.998481508
2011-11-08,0.049802967,0.0291797,-0.165822581,0.110005414,,1.049802967,1.0291797,0.834177419,1.110005414,,1.011735639,1.015563991,1.018254984,1.018254984
2011-11-09,0.011280297,0.009858053,-0.21401213,0.045881573,,1.011280297,1.009858053,0.78598787,1.045881573,,0.963304857,0.981226167,0.942231055,0.942231055
2011-11-10,0.020001758,0.014984214,-0.207365236,0.05472632,,1.020001758,1.014984214,0.792634764,1.05472632,,1.008624177,1.00507612,1.008456739,1.008456739
2011-11-11,0.039871943,0.03312343,-0.18285491,0.087341198,,1.039871943,1.03312343,0.81714509,1.087341198,,1.01948054,1.017871427,1.030922598,1.030922598
2011-11-14,0.029941018,0.026419344,-0.193655759,0.072968955,,1.029941018,1.026419344,0.806344241,1.072968955,,0.990449858,0.993510856,0.986782214,0.986782214
