종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
105190,ACE 200,34495,390,1.14,34556.43,34145,34560,34145,22256,765902015,4.58784E+11,0,13300000,코스피 200,341.61,3.66,1.08
332500,ACE 200TR,21835,265,1.23,21875.46,21750,21885,21680,578,12607220,32752500000,0,1500000,코스피 200 TR,427.58,4.56,1.08
448870,ACE 23-12 회사채(AA-이상)액티브,104490,0,0,104490.08,104485,104505,104485,416,43465830,1.67811E+11,0,1606000,KIS 크레딧 2312만기형 총수익지수,109.64,0,0
448880,ACE 24-12 회사채(AA-이상)액티브,106400,15,0.01,106410.27,106435,106435,106400,143,15218215,1.36192E+11,0,1280000,KIS 크레딧 2412만기형 총수익지수,107.7,0,0
461260,ACE 25-06 회사채(AA-이상)액티브,10070,5,0.05,10058.38,10065,10070,10060,153574,1546489060,69583700000,0,6910000,KIS 크레딧 2506만기형(AA-이상)지수(총수익지수),113.79,0,0
461270,ACE 26-06 회사채(AA-이상)액티브,10055,5,0.05,10048.43,10045,10055,10045,157331,1581925645,83255400000,0,8280000,KIS 크레딧 2606만기형(AA-이상)지수(총수익지수),111.55,0,0
385600,ACE 2차전지&친환경차액티브,14200,205,1.46,14208.64,14085,14450,13805,226720,3231647045,26980000000,0,1900000,FnGuide 친환경 자동차 밸류체인 지수,1904.42,38.26,2.05
385590,ACE ESG액티브,7890,40,0.51,7907.28,7860,7910,7855,328,2580640,25248000000,0,3200000,MSCI Korea Country ESG Leaders Custom Capped Price return Index,1584.48,18.26,1.17
380340,ACE Fn5G플러스,8695,20,0.23,8653.92,8730,8730,8615,3132,27097215,6086500000,0,700000,FnGuide 5G플러스 지수 (시장가격),1732.73,2.31,0.13
226380,ACE Fn성장소비주도주,5955,-35,-0.58,5956.63,5985,5985,5930,70,417190,5955000000,0,1000000,FnGuide 성장소비주도 지수,1978.81,-9.35,-0.47
414270,ACE G2전기차&자율주행액티브,9725,-85,-0.87,9743.61,9780,9780,9695,94835,923152940,80717500000,0,8300000,FactSet US-China Electric&Autonomous Vehicle Price Return Index,267.3,-1.06,-0.39
411060,ACE KRX금현물,11720,5,0.04,11691.3,11740,11740,11650,68111,796973230,79696000000,0,6800000,KRX 금현물지수,1920.03,-0.94,-0.05
225130,ACE 골드선물 레버리지(합성 H),16105,-105,-0.65,16152.5,16080,16120,16055,562,9034525,9663000000,0,600000,S&P GSCI GOLD Index Excess Return,134.63,0.3,0.22
365780,ACE 국고채10년,86215,-315,-0.36,86260.42,86360,86505,86125,3601,310658305,3.29514E+11,0,3822000,KIS 10년 국고채 지수 (총수익),14806.74,-25.55,-0.17
114460,ACE 국고채3년,101835,60,0.06,101821.16,101920,101920,101830,69,7027425,24440400000,0,240000,KTB INDEX(시장가격),10241.6,-5.03,-0.05
299070,ACE 국채선물10년인버스,112110,240,0.21,112189.94,0,0,0,0,0,5605500000,0,50000,10년국채선물지수,1172.47,-2.98,-0.25
299080,ACE 국채선물3년인버스,107695,25,0.02,107724.78,0,0,0,0,0,5384750000,0,50000,국채선물지수,1217.19,-0.82,-0.07
411050,ACE 글로벌메타버스테크액티브,8725,-35,-0.4,8824.08,8850,8850,8720,577,5048945,13960000000,0,1600000,Bloomberg Global Digital Media & Tech Select Price Return Index,3106.4,2.7,0.09
446770,ACE 글로벌반도체TOP4 Plus SOLACTIVE,14790,-145,-0.97,14749.46,14780,14830,14710,45513,672689160,93916500000,0,6350000,Solactive Global Semiconductor TOP4 Plus Price Return Index,2873.13,-35.62,-1.22
435040,ACE 글로벌브랜드TOP10블룸버그,12345,-60,-0.48,12351.89,12360,12405,12345,1821,22527195,11727750000,0,950000,Bloomberg Global Select Industry Leaders TOP10 Index(PR),3292.05,0,0
460960,ACE 글로벌인컴TOP10 SOLACTIVE,10245,5,0.05,10240.9,10265,10270,10225,975,9999965,8196000000,0,800000,Solactive Global Superior Income TOP 10 Price Return Index,759.29,0,0
440640,ACE 단기채권알파액티브,103405,10,0.01,103400.84,103400,103410,103395,1440,148899985,47566300000,0,460000,KIS 단기채권알파AA-이상 총수익지수,112.31,0,0
190620,ACE 단기통안채,102255,5,0,102260.06,102260,102270,102255,1250756,1.27905E+11,2.21893E+11,0,2170000,KIS MSB 단기지수(총수익),12040.28,0.76,0.01
265690,ACE 러시아MSCI(합성),9590,0,0,43.87,0,0,0,0,0,17741500000,0,1850000,MSCI Russia 25% Capped Price Return Index,,,
152500,ACE 레버리지,6870,140,a,6880.25,6730,6895,6730,9050,61806965,9618000000,0,1400000,코스피 200,341.61,3.66,1.08
291130,ACE 멕시코MSCI(합성),14600,10,0.07,14532.33,14600,14600,14585,753,10985910,13140000000,0,900000,MSCI MEXICO IMI 25/50 Price return Index,10875.92,0,0
452250,ACE 미국30년국채선물레버리지(합성 H),7615,25,0.33,7598.18,7585,7650,7585,140467,1070810250,32744500000,0,4300000,S&P Ultra T-Bond Futures Index(ER),124.99,0.25,0.2
453850,ACE 미국30년국채액티브(H),9075,35,0.39,9030.23,9055,9100,9050,975564,8852169200,2.63175E+11,0,29000000,Bloomberg U.S Treasury 20+ Year Total Return Index,589.72,0,0
280320,ACE 미국IT인터넷S&P(합성 H),13655,-10,-0.07,13555.1,13620,13655,13530,1194,16293535,10924000000,0,800000,다우존스 인터넷 종합지수,760.86,0,0
360200,ACE 미국S&P500,14980,15,0.1,14957.04,14965,15035,14950,146438,2195748805,5.88714E+11,0,39300000,S&P 500,4499.38,0,0
438080,ACE 미국S&P500채권혼합액티브,10270,-5,-0.05,10293.5,10275,10310,10255,9916,101964340,8216000000,0,800000,S&P500 and Short-Term Treasury 30/70 Blend Index,164.33,0,0
309230,ACE 미국WideMoat가치주,21520,-195,-0.9,21485.37,21680,21680,21420,10284,221472820,71016000000,0,3300000,MorningStar Wide Moat Focus Index,12297.06,0,0
367380,ACE 미국나스닥100,15450,-35,-0.23,15417.01,15430,15505,15430,87557,1354425775,4.80495E+11,0,31100000,NASDAQ 100,15273.05,0,0
438100,ACE 미국나스닥100채권혼합액티브,10550,10,0.09,10563.21,10540,10580,10535,9320,98355485,8440000000,0,800000,NASDAQ-100 US T-Bills 30/70 Index,1500.3,0,0
